ID,STAR,PERIOD,V_INTMEAN,BV_INTMEAN,EBV,V_AMPL,MV,DIST,Z,RV_MEAN,RADIUS BIN  1H?,NOTES
431,V500 Sco,9.316839,8.729,1.276,0.599,0.715,-4.02,1508,-36,-14.2,53.1,
432,V507 Sco,11.7989,,,,,-4.31,,,,,
433,V516 Sco,15.6675,,,,,-4.67,,,,,
434,V567 Sco,34.0483,,,,,-5.65,,,,,
435,V636 Sco,6.796859,6.654,0.936,0.217,0.5,-3.62,832,-76,8.3,O,IUE
436,V706 Sco,12.6444,,,,,-4.4,,,,,
437,V708 Sco,27.178,,,,,-5.37,,,,,
438,V742 Sco,28.456,,,,,-5.42,,,,,
438.5,V950 Sco,3.38045,7.302,0.775,0.267,0.365,-3.19,855,-73,,s,new period
439,X Sct,4.19807,10.006,1.14,0.619,0.834,-3.01,1657,-45,11.1,,
440,Y Sct,10.341483,9.628,1.539,0.823,0.799,-4.15,1759,-26,12.3,83.5,
441,Z Sct,12.901325,9.6,1.33,0.542,0.986,-4.43,2951,-40,37.2,,
442,RU Sct,19.70062,9.466,1.645,0.957,1.126,-4.96,1958,8,-4.8,120.5  O:,Trump 35
443,SS Sct,3.671253,8.211,0.944,0.337,0.523,-2.84,1003,-32,-8.6,29.5,
444,SU Sct,1.467978,13.663,0.853,0.459,0.826,-1.69,6110,-637,,,
445,TY Sct,11.05302,10.831,1.657,1.014,0.896,-4.23,2418,5,25.5,,
446,UZ Sct,14.7442,11.305,1.784,1.071,0.88,-4.59,3273,-86,38.8,,
447,BX Sct,6.41133,12.241,2.066,1.318,0.825,-3.54,2183,-65,-2.4,,
448,CK Sct,7.41522,10.59,1.566,0.795,0.511,-3.73,2350,-19,-0.4,,
449,CM Sct,3.916977,11.106,1.371,0.771,0.611,-2.92,2124,-16,40.8,,
450,CN Sct,9.9923,12.478,2.106,1.267,0.684,-4.1,3389,1,19.7,,
451,EV Sct,3.09099,10.137,1.16,0.679,0.3,-3.07,1662,-14,17.5,47.9        s,NGC 6664
452,EW Sct,5.8233,7.979,1.725,1.128,0.359,-3.42,381,-1,-18.6,,dblmode
453,FT Sct,5.25537,,,,,-3.29,,,,,
454,NT Sct,1.37,,,,,-1.6,,,,,
455,PZ Sct,15,,,,,-4.62,,,,,
