ID,STAR,RA h,RA m,RA s,Dec d,Dec m,l,b
360,CI Per,2,1,39,56,54,132.83,-4.31
361,DW Per,2,30,16,56,48,136.56,-3.11
362,GP Per,4,19,44,44,7,157.9,-3.79
363,HQ Per,4,40,34,40,44,163.01,-3.28
364,HZ Per,4,21,53,45,30,157.19,-2.54
365,MM Per,3,41,41,47,56,150.41,-5.29
366,OT Per,4,35,0,47,38,157.19,0.56
367,V440 Per,2,20,22,55,8,135.87,-5.17
368,X Pup,7,30,37,-20,48,236.14,-0.78
369,RS Pup,8,11,9,-34,25,252.43,-0.19
370,VW Pup,7,29,36,-20,2,235.37,-0.62
371,VX Pup,7,30,28,-21,49,237.02,-1.3
372,VZ Pup,7,36,35,-28,23,243.42,-3.31
373,WW Pup,7,39,45,-21,0,237.38,0.97
374,WX Pup,7,39,54,-25,45,241.51,-1.37
375,WY Pup,7,55,58,-23,54,241.78,2.71
376,WZ Pup,7,58,15,-23,33,241.77,3.34
377,AD Pup,7,45,58,-25,27,241.93,-0.03
378,AP Pup,7,56,1,-39,59,255.49,-5.72
379,AQ Pup,7,56,21,-28,59,246.16,0.11
380,AT Pup,8,10,31,-36,47,254.33,-1.61
381,BC Pup,7,27,54,-23,34,238.26,-2.67
382,BD Pup,7,28,34,-24,34,239.22,-3.02
383,BM Pup,7,48,1,-28,7,244.46,-1
384,BN Pup,8,4,21,-29,57,247.9,1.07
385,CK Pup,7,25,16,-25,40,239.83,-4.21
386,CM Pup,7,28,33,-20,20,235.51,-0.98
387,EK Pup,7,39,44,-24,55,240.77,-0.98
388,HL Pup,8,9,11,-33,21,251.31,0.06
389,HW Pup,7,55,38,-27,27,244.77,0.78
390,LL Pup,7,51,49,-30,19,246.78,-1.43
391,LQ Pup,7,54,15,-32,27,248.87,-2.1
392,LR Pup,7,54,59,-28,1,245.17,0.36
393,LS Pup,7,56,58,-29,10,246.38,0.13
394,LX Pup,8,6,7,-16,18,236.57,8.75
395,MY Pup,7,36,53,-48,29,261.31,-12.86
396,NT Pup,7,57,0,-38,51,254.63,-4.97
396.5,V335 Pup,7,54,48,-22,41,240.55,3.03
397,S Sge,19,53,45,16,30,55.17,-6.12
398,DG Sge,19,38,23,19,10,55.62,-1.62
399,GX Sge,19,28,58,19,8,54.5,0.3
400,GY Sge,19,33,3,19,6,54.94,-0.55
401,U Sgr,18,28,57,-19,9,13.71,-4.46
402,W Sgr,18,1,50,-29,35,1.58,-3.98
403,X Sgr,17,44,25,-27,48,1.17,0.21
404,Y Sgr,18,18,26,-18,53,12.79,-2.13
405,VY Sgr,18,9,6,-20,42,10.13,-1.08
406,WZ Sgr,18,14,3,-19,5,12.11,-1.32
407,XX Sgr,18,21,51,-16,49,14.99,-1.88
408,YZ Sgr,18,46,35,-16,46,17.75,-7.12
409,AP Sgr,18,10,0,-23,7,8.11,-2.44
410,AV Sgr,18,1,47,-22,44,7.53,-0.59
411,AY Sgr,18,20,22,-18,36,13.26,-2.4
412,BB Sgr,18,48,2,-20,21,14.67,-9.01
413,GK Sgr,18,14,3,-33,22,359.48,-8.08
414,V350 Sgr,18,42,19,-20,42,13.76,-7.96
415,V504 Sgr,18,7,22,-16,1,14.03,1.55
416,V773 Sgr,17,51,10,-26,45,2.85,-0.53
417,V1954Sgr,18,12,23,-20,39,10.56,-1.73
418,V2284Sgr,18,2,0,-36,50,355.22,-7.54
419,V2434Sgr,17,55,45,-29,10,1.27,-2.63
420,V2511Sgr,18,13,15,-28,21,3.86,-5.58
421,V2719Sgr,18,10,39,-32,43,359.72,-7.15
422,V2864Sgr,18,13,36,-36,20,356.77,-9.36
423,V3820Sgr,18,23,19,-24,15,8.56,-5.66
424,V3910Sgr,18,11,18,-27,43,4.22,-4.9
426,RV Sco,16,55,3,-33,32,350.41,5.67
427,RY Sco,17,47,34,-33,41,356.49,-3.42
428,KQ Sco,16,48,2,-45,20,340.39,-0.75
429,V470 Sco,17,14,2,-37,15,349.76,0.33
430,V482 Sco,17,27,31,-33,34,354.36,0.17
431,V500 Sco,17,45,24,-30,27,359.02,-1.35
432,V507 Sco,17,20,47,-44,14,344.78,-4.72
433,V516 Sco,17,29,38,-39,52,349.34,-3.65
434,V567 Sco,16,46,22,-40,50,343.65,2.39
435,V636 Sco,17,19,5,-45,34,343.51,-5.22
